1881	24.0
1888	47.0
1895	47.0
1902	46.0
1904	7.0
1908	26.0
1910	8.0
1915	31.0
1917	7.0
1926	66.0
1931	30.0
1940	63.0
1945	32.0
1952	52.0
1955	18.0
1957	7.0
1961	26.0
1968	46.0
1975	47.0
1984	61.0
1987	18.0
1989	7.0
1996	53.0
2001	32.0
2008	47.0
2013	30.0
2016	18.0
2018	7.0
2022	24.0
2024	5.0
2026	7.0
2029	18.0
2033	25.0
2035	6.0
2040	31.0
2044	26.0
2046	7.0
2048	7.0
2054	43.0
2059	34.0
2061	7.0
2071	173.0
2074	19.0
2077	18.0
2080	18.0
2082	7.0
2084	7.0
2089	34.0
2098	67.0
2100	7.0
2108	55.0
2117	66.0
2119	7.0
2122	19.0
2124	6.0
2132	58.0
2135	18.0
2140	31.0
2143	18.0
2147	25.0
2149	7.0
2152	18.0
2159	47.0
2164	35.0
2169	37.0
2173	25.0
2178	30.0
2181	17.0
2185	25.0
2188	18.0
2192	24.0
2193	6.0
2196	18.0
2199	18.0
2202	18.0
2205	18.0
2208	18.0
2214	40.0
2220	41.0
2226	42.0
2236	172.0
2239	18.0
2247	54.0
2249	7.0
2258	64.0
2268	173.0
2278	68.0
2280	7.0
2290	172.0
2292	7.0
2297	31.0
2298	6.0
2306	60.0
2313	50.0
2319	41.0
2327	58.0
2332	31.0
2334	7.0
2341	46.0
2346	38.0
2349	18.0
2353	26.0
2362	63.0
2367	30.0
2372	29.0
2382	72.0
2383	6.0
2391	57.0
2396	31.0
2406	67.0
2409	18.0
2415	39.0
2422	46.0
2425	18.0
2430	37.0
2434	25.0
2437	17.0
2442	37.0
2448	39.0
2450	10.0
2452	7.0
2457	37.0
2460	18.0
2466	41.0
2469	18.0
2474	35.0
2479	31.0
2488	62.0
2493	32.0
2495	7.0
2499	26.0
2503	25.0
2508	35.0
2511	17.0
2514	18.0
2523	66.0
2526	18.0
2529	19.0
2535	41.0
2545	73.0
2550	31.0
2555	28.0
2561	45.0
2566	36.0
2571	31.0
2581	171.0
2584	18.0
2593	63.0
2595	7.0
2601	41.0
2606	30.0
2608	7.0
2614	41.0
2615	7.0
2623	61.0
2627	25.0
2630	18.0
2633	17.0
2636	18.0
2639	17.0
2642	17.0
2647	29.0
2653	38.0
2656	17.0
2657	6.0
2660	18.0
2663	18.0
2673	71.0
2683	172.0
2686	18.0
2695	63.0
2698	17.0
2703	34.0
2705	7.0
2709	26.0
2715	45.0
2718	18.0
2725	46.0
2728	18.0
2737	63.0
2746	62.0
2751	37.0
2753	7.0
2759	41.0
2761	6.0
2771	171.0
2776	31.0
2784	53.0
2788	26.0
2793	30.0
2798	35.0
2800	6.0
2808	58.0
2815	47.0
2818	17.0
2828	172.0
